organism_code,species_name,prop_d28,prop_d4,prop_d7,prop
2550,Limnodrilus hoffmeisteri,0.8546255506607929,0.8079470198675497,0.6269315673289183,0.763235294117647
6730,Corbicula fluminea,0.9955947136563876,0.9977924944812362,0.271523178807947,0.7551470588235294
2730,Varichaetadrilus angustipenis,0.9162995594713657,0.9161147902869757,0.2980132450331126,0.7102941176470589
4750,Gammarus daiberi,0.751101321585903,0.8410596026490066,0.33774834437086093,0.6433823529411765
4610,Americorophium spinicorne,0.7577092511013216,0.8896247240618101,0.2119205298013245,0.6198529411764706
4630,Americorophium stimpsoni,0.73568281938326,0.7461368653421634,0.2847682119205298,0.5889705882352941
2470,Bothrioneurum vejdovskyanum,0.9317180616740088,0.7615894039735099,NA,0.5801470588235295
3450,Laonome calida,0.539647577092511,0.7373068432671082,0.39072847682119205,0.5558823529411765
6890,Potamocorbula amurensis,NA,0.7350993377483444,0.8344370860927153,0.5227941176470589
3330,Hediste limnicola,0.5682819383259912,0.6512141280353201,0.26048565121412803,0.4933823529411765
1130,Prostoma graecense,0.8061674008810573,0.4922737306843267,NA,0.4455882352941177
3130,Marenzelleria neglecta,NA,0.6379690949227373,0.6490066225165563,0.4294117647058823
4230,Nippoleucon hinumensis,NA,0.5452538631346578,0.6975717439293598,0.4161764705882353
1290,mermithid sp. A,0.3303964757709251,0.6600441501103753,NA,0.3588235294117647
3430,Manayunkia speciosa,0.9030837004405287,0.10154525386313466,NA,0.3352941176470588
4550,Sinocorophium alienense,NA,0.18763796909492272,0.7196467991169978,0.30220588235294116
2410,Aulodrilus limnobius,0.7070484581497798,0.18543046357615894,NA,0.2985294117647059
6630,Melanoides tuberculata,0.5903083700440529,0.2891832229580574,NA,0.2933823529411765
2510,Ilyodrilus frantzi,0.7158590308370044,NA,NA,0.2698529411764706
2630,Quistadrilus multisetosus,0.5550660792951542,0.2163355408388521,NA,0.25735294117647056
3050,Boccardiella ligerica,NA,0.5143487858719646,0.19646799116997793,0.23897058823529413
4670,Grandidierella japonica,NA,0.22958057395143489,0.4746136865342163,0.23455882352941176
2450,Aulodrilus japonicus,0.6233480176211453,NA,NA,0.2235294117647059
2720,Tubificoides heterochaetus,NA,NA,0.5386313465783664,0.2051470588235294
6810,Limecola petalum,NA,NA,0.5121412803532008,0.18970588235294117
2650,Embolocephalus nikolskyi,0.5506607929515418,NA,NA,0.18455882352941178
4150,Balanus improvisus,NA,0.1368653421633554,0.39514348785871967,0.17720588235294119
1230,Dorylaimus sp. A,0.32158590308370044,0.16997792494481237,NA,0.175
2810,Sparganophilus eiseni,0.44493392070484583,NA,NA,0.1676470588235294
4090,Cyprideis sp. A,0.3920704845814978,NA,NA,0.16397058823529412
2570,Limnodrilus udekemianus,0.28634361233480177,0.19205298013245034,NA,0.16176470588235295
2530,Ilyodrilus templetoni,0.2444933920704846,0.19646799116997793,NA,0.14926470588235294
6750,Pisidium casertanum,0.41409691629955947,NA,NA,0.14338235294117646
4810,Hyalella sp. A,0.29515418502202645,0.11920529801324503,NA,0.13897058823529412
6770,Pisidium compressum,0.3964757709251101,NA,NA,0.13676470588235295
3370,Alitta succinea,NA,NA,0.37748344370860926,0.13161764705882353
2490,Branchiura sowerbyi,0.32819383259911894,NA,NA,0.12720588235294117
4310,Synidotea laticauda,NA,0.10375275938189846,0.2582781456953642,0.12058823529411765
4050,Candona sp. A,0.31277533039647576,NA,NA,0.1161764705882353
2970,Mooreobdella microstoma,0.2687224669603524,NA,NA,0.11470588235294117
1270,Actinolaiminae sp. A,0.19162995594713655,0.11479028697571744,NA,0.10220588235294117
2610,Psammoryctides californianus,NA,0.26490066225165565,NA,0.10147058823529412
2840,Altmanella freidris,0.2907488986784141,NA,NA,0.10147058823529412
5410,Procladius sp. A,0.21806167400881057,NA,NA,0.1
4510,Ampelisca abdita,NA,NA,0.2869757174392936,0.09779411764705882
4350,Gnorimosphaeroma insulare,NA,0.23178807947019867,NA,0.08823529411764706
1090,turbellarian sp. A,NA,0.2185430463576159,NA,0.0838235294117647
4030,Isocypris sp. A,0.13656387665198239,NA,NA,0.07426470588235294
2090,Dero trifida,0.2026431718061674,NA,NA,0.07279411764705883
3090,Pseudopolydora kempi,NA,NA,0.2141280353200883,0.07205882352941176
4950,Rhithropanopeus harrisii,NA,0.16335540838852097,NA,0.07205882352941176
2850,Lumbriculus variegatus,0.21145374449339208,NA,NA,0.0713235294117647
1010,Girardia tigrina,0.17180616740088106,NA,NA,0.07058823529411765
6570,Physa sp. A,0.16740088105726872,NA,NA,0.06985294117647059
4370,Gnorimosphaeroma oregonensis,NA,0.1479028697571744,NA,0.06691176470588235
3170,Heteromastus filiformis,NA,NA,0.18984547461368653,0.06323529411764706
4410,Uromunna sp. A,NA,0.1280353200883002,NA,0.06323529411764706
4270,Sinelobus stanfordi,NA,0.15011037527593818,NA,0.0625
5550,Cryptochironomus sp. A,0.14096916299559473,NA,NA,0.058823529411764705
6490,Fluminicola sp. A,NA,NA,NA,0.05808823529411765
2430,Aulodrilus pigueti,0.15418502202643172,NA,NA,0.05588235294117647
3110,Streblospio benedicti,NA,NA,0.15894039735099338,0.054411764705882354
6530,Gyraulus circumstriatus,0.1299559471365639,NA,NA,0.054411764705882354
2270,Slavina appendiculata,0.13876651982378854,NA,NA,0.05367647058823529
6565,Helisoma anceps,0.1013215859030837,NA,NA,0.04264705882352941
4740,Crangonyx floridanus,0.10572687224669604,NA,NA,0.04338235294117647
5130,Stylurus olivaceus,NA,0.12141280353200883,NA,0.04338235294117647
